name,markerColor
Ninebark ,001494
AborvitaeHedge Acacia ,0007AA
Alder ,001B75
AleppoPine ,0008BC
Almond ,000BC3
AmericanBeechTree AmericanElm ,000DBB
AmericanSycamore Apple ,001029
Apple(Crab) ,000E4C
Apricot ,001287
Arborvitae ,000C70
Arbutus ,000D74
Ash ,000B62
Ash(Black) ,0002FB
Ash(Green) ,000598
Ash(White) ,001D59
AusTree ,001BD3
Azaleas ,000BEB
Azelia ,0012F0
BalsamFir ,0019D8
BalsamPoplar ,00067C
Barberrry ,000C49
Basswood ,00102A
Bayberry ,00164D
Beech ,001B00
Beech(Blue) ,000132
Beech(Purple) ,0006BF
Berry(Service) ,000BF6
BigtoothAspen Birch ,001C11
Birch(Paper) ,00092E
Birch(River) ,0018A4
Birch(White) ,000826
BushesandShrubs Butternut ,001E91
CaliforniaFanPalm Catalpa ,00088A
Cedar ,000F90
Cherry ,000113
Cherry(Bing) ,000DE6
Cherry(Black) ,001BE1
Cherry(Fruit) ,001C03
Cherry(ornamental) Cherry(Quansam) Cherry(Weeping) Cherry(Choke) Chestnut ,000AC4
Chinaberry ,000C8A
ColumnerTri Color Maple ,0014A8
CommonHackberry ConcolorFir ,001471
CorkscrewWeeping Willow ,0012C6
Cotoneaster ,00150D
Cottonwood ,001612
Cypress ,000B18
Cypress(Bald) ,00070D
Cypress(False) ,00110F
DebrisPile(Brush) DebrisPile(Wood) ,000A10
DebrisPile(Woodand Brush) ,0014F3
Dogwood ,0001A0
Dogwood(Clump) Douglasfir ,0014C3
EasternCottonwood EasternWhiteCedar EasternWhitePine Elder ,00077E
Elder(Box) ,000C22
Elderberry ,00058F
Elm,000C91
Elm(American),000A1D
Elm(Chinese) ,00178F
Elm(Ornamental) Elm(Rock) ,0009A7
Elm(Siberian) ,00088F
Euonymus ,00124C
Euonymus(Burning Bush) ,000E11
Evergreen ,000FFD
Fir ,0015F0
Fir(Douglas) ,00080D
Fir(Balsam) ,000AA2
FloweringCrabapple FloweringPlum Forsythia ,000A9D
Ginko ,001121
Gum ,0004C9
Gum(Sweet) ,001861
Hackberry ,000F9C
Hawthorn ,000AB4
Hazelnut ,0015EB
Hedge ,001C81
Hemlock ,0011FD
Hemlock(Eastern) Hemlock(Western) Hemlock(Mountain) ,00025B
Hickory ,001AAC
Hickory(Mockernut) Hickory(Pignut) ,001AB9
Hickory(Bitternut) Hickory(Shagbark) ,001A8B
Hickory(Shellbark) Holly ,001735
Honeylocust ,00103B
HoneySuckle ,000391
Hophornbeam ,001C96
Hornbeam ,00121A
Horsechestnut ,0009FC
Hydrangea ,001AB2
Ironwood ,00134F
Japanese Flowering Crabapple ,0001E4
JapaneseZelkova Juniper ,0006A6
Juniper(BlueRug) Juniper(Compact) Juniper(Pyramidal) ,001C4F
Juniper(Upright) KentuckyCoffeetree KousaDogwood Larch ,0019FC
Laurel ,000970
Lilac ,001F2F
Lilac Tree ,000F7F
Linden ,00162D
LittleleafLinden ,000DE5
Locust ,00182C
Locust(Black) ,001718
Locust(Honey) ,000B66
Locust(Sunburst) LocustAndCherry Magnolia ,001EAF
ManitobaMaple ,000606
Maple ,001AFF
Maple(CrimsonKing) Maple(CrimsonRed) Maple(Crimson) Maple(Hard) ,000B2F
Maple(Japanese) Maple(Linden) ,001760
Maple(Norway) ,00176E
Maple(Red) ,001F2A
Maple(Silver) ,000007
Maple(Soft) ,000EC0
Maple(Sugar) ,000C48
Maple(Black),0002A4
Maple (Boxelder) Mimosa ,000723
Mixed Species Mock Orange ,000BCE
Mountain Ash ,000F0B
Mountain Laurel Muberry ,0005DE
Mulberry ,001698
Myrtle ,00097B
Nectarine ,000E8C
Northern Catalpa Oak ,001E33
Oak (Black) ,00015D
Oak (Bur) ,000688
Oak (Chinqeapin) Oak (Pin) ,00162A
Oak (Red) ,001371
Oak (White) ,001753
Oleaster ,00172F
Olive ,00111A
Olive (Russian) Orange ,001E49
Ornamental Grass Osage Orange Paw Paw ,001B36
Paper Birch ,001703
Peach ,00009B
Pear ,0011F8
Pear (Bradford) Pecan ,00161B
Persimmon ,00046E
Pignut Hickory Pin Oak ,001661
Pinapple ,000385
Pine ,000E9F
Pine (Austrian) Pine (Jack) ,001BD0
Pine (Muhgo) ,0019CA
Pine (Red) ,0004FC
Pine (Scotch) ,000A3E
Pine (White) ,001419
Pine (Bristlecone) Plum ,00183F
Plum (Purple) ,00158A
Poplar ,000A68
Poplar (Lombardy) Poplar (tulip) ,0005FF
Poplar (Yellow) Privet ,001A83
Prunus Unknown ,000CAF
Pyrocantha ,0019B5
Raintree ,001031
Red Bud ,0016E5
Redbud ,001BF8
Redwood ,000AFA
Rhododendron ,00058F
Rose ,00096E
Rose of Sharon Sassafras ,0008E1
Scattered Brush and Wood ,0011E1
Serviceberrry ,00164D
Silver bell ,001900
Silver Maple ,00171A
Smoke Tree ,0005B7
Soapberry ,000833
Sourwood ,000758
Spindle tree ,001482
Spirea ,0019CE
Spruce ,000C45
Spruce (Alberta) Spruce (Birds Nest) Spruce (Blue) ,00005A
Spruce (Brown) Spruce (Green) ,001A96
Spruce (Norway),0018A9
Stump ,000EA6
Sugar Maple ,001756
Sumac ,000C7C
Sweet gum ,000E5C
Sycamore ,001064
Tamarack ,00181A
Tamarind ,000133
Trailing Arbutus Tree of Heaven Tricolor Beech ,001711
Tulip tree ,001604
Unidentified Species Unknown ,0000B8
Unspecified ,0005CA
Various Bushes Various Species ,0001B7
General Clearance ,0019CE
Prune Maintenance Various Trees ,001D21
Viburnum ,00169E
Vine ,0005D7
Walnut ,000FC9
Walnut (Black) ,000CB5
Walnut (English) Weeping Lace Leaf ,001478
Weigela ,0019A1
Wheeping Cedar ,0012C5
Wheeping Cherry ,0006EF
Willow ,0012FD
Willow (Pussy) ,00155A
Willow (Weeping) ,000D33
Willow Tree ,001DE1
Winterberry ,001EA0
Wisteria ,0003CB
Witch hazel ,0008DF
Yellow-Poplar Tulip Tree Yellowwood ,00036F
Yew ,0005B1
Yew (Compact) ,0005B7
Yew (Upright) ,000F1F
Yew Hedge ,00064A
Zelkova,000159
