name,count
1 HP 460v 1760 RPM 1 PH blower motor SKU: 2553,0
1.5 HP 1750 RPM 115/230v fan motor,0
1.5 Hp Condensin Unit,0
1” Gas Regulator,0
1” Gas Regulator REG010,0
1”x3/4” union,0
1/12 hp 115/220V Evap fan motor,0
1/18 x 3/4 insulation,0
1/2 acr,0
1/2 AMP fuses Fuse022,0
1/2 brass 90 fitting,0
1/2 gallon Simple Green cleaner,0
1/2 HP 1075 RPM CFM,0
1/2 hp 3in1capacitor 120v,0
1/2 hp 3n1,0
1/2 hp starter,0
1/2 inch copper tubing,0
1/2 nipples,0
1/2 roll of insulation tape,0
1/2 water tube,0
"1/2"" copper 1'",0
"1/2"" service tee",0
"1/2"" softroll",0
1/2” 6” soft pipe and coupling,0
1/2” Band seal coupler,0
1/2” brass splicer,0
1/2” copper,0
1/2” copper pipe,0
"1/2” Dryer (EK-304)emerson, 1 pice",0
1/2” fittings,0
1/2” Gas Regulator,0
1/2” Gas Regulator RV48L,0
1/2” LP Regulator REG005,0
1/2” non-metallic whip kit,0
1/2” pipe,0
1/2” to 3/4” coupling,0
1/2” tubing clamp,0
1/2” Vinyl Tubing (small piece),0
1/2” x 3” nipples,0
1/2” x 3/8” Bushing,0
1/2”X4” carriage bolts and fasteners Quantity 4,0
1/20 Hp Fan Motor,0
1/3 hp 115V Pump electric motor,0
1/3 hp 208v 2amp 1075rpm,0
1/3 hp 404a compressor # AE4402-AA1A,0
1/3 hp compressor,0
1/3 hp compressor 115 volts,0
1/3 hp Marathon motor,0
1/3 hp motor,0
1/3 Hp Tecumseh Compressor,0
1/3 hp 115 volt 2spd motor,0
1/3 Hp 115V Med Temp Comp,0
1/3 HP 115v motor,0
1/3 hp Compressor,0
1/3 hp Med Temp 120V R134a compressor,0
1/4 access valve,0
1/4 Caps,0
1/4 cooper tubing,0
1/4 copper 1',0
1/4 copper pipe,0
1/4 copper tubing.,0
1/4 hp 220V Condenser fan motor,0
1/4 liquid line filter drier,0
1/4 needle valve,0
1/4 pipe clamp,0
1/4 screws,0
1/4 service t,0
1/4 solenoid valve,0
1/4 threaded rivets,0
1/4 TON R-404a Expansion valve,0
"1/4"" access fittings",0
"1/4"" access ports",0
"1/4"" copper 4'",0
"1/4"" copper 5'",0
"1/4"" service port",0
"1/4"" soft roll 4ft",0
"1/4"" woodruff key",0
1/4” 032 Liquid line drier filter,0
1/4” access ports part# A31004,0
1/4” access valve,0
1/4” Brass fittings,0
1/4” Braze Tee,0
1/4” copper,0
1/4” copper pipe,0
1/4” copper pipe 6’ feet,0
1/4” copper tube extension part#A31004,0
1/4” couplings,0
1/4” drier filter,0
1/4” factory OEM filter drier,0
1/4” Filter drier,0
1/4” filter drier part# 063208,0
1/4” Fittings,0
1/4” liquid line drier,0
1/4” Liquid line drier filter,0
1/4” Pipe and Service port,0
1/4” ports,0
1/4” screw,0
1/4” service port,0
1/4” Solenoid Valve and 115v Coil,0
1/4” Te service port,0
1/4” tubing 7”,0
1/4” water inlet line adapters,0
1/8 access port,0
1/8 x 1/2 “ pipe insulation,0
1/8 x 1/2 “ split insulation,0
"1/8""x3/4""x6' insulation",0
1/8” Insulation,0
1/8” offset door hinge,0
1/8” x 3/4” insualtion,0
1/8” x 3/4” insulation,0
1/8” x 7/8” Bushing,0
1/8access port,0
10 amp fuse,0
10 mfd cap,0
10 uf run capacitors,0
10” evap fan blade,0
100 amp fuse,0
1094 door closer,0
11068 start cap,0
115v .5a condenser fan motor,0
115v 12' drain line heater,0
115v 16w ccw fan motor,0
115v 16watt motor,0
115v 18w fan motor,0
115v 2 pole switch,0
115V 30A 2Poles Contactor,0
115v 404a compressor,0
115v 6w fan motor,0
115V 9W condenser fan motor,0
115V 9W CW fan motor,0
115v 9w Evaporator motor,0
115V 9W fan motor,0
115v 9watt fan motor,0
115v 9watt motor,0
115v compressor,0
115v condensate pump,0
115V condenser fan motor,0
115v cord,0
115v defrost heater,0
115v evap fan motor,0
115V fan motor,0
115v glycol motor,0
115v power cord,0
115v power plug,0
115v refrigeration thermostat,0
115v submersible pump,0
"115v wall socket 2 gang, 1 set",0
115v water inlet valve,0
"115v, 16 watts fan motor",0
12 awg wire,0
"12"" cw fan blade",0
"12"" fan blade",0
"12"" fan blade hub",0
120 volt LED light strip,0
120/240v Intermatic Defrost Clock part# DTAV40,0
120v .5amp fan motors,0
120V Condensate Pump,0
120v dixal,0
120v dixal controler,0
120v dixall control,0
120V Dixell Controller,0
120V Dixell controller and temp probe,0
120v Dixell controls part# XR60CX-4N1F UR 943-029 00,0
120V Dixell digital controller,0
120V Dixell digital controller and temp probe,0
120V Dixell Digital Controller and temp sensor,0
120V Dixell digital temp controller,0
120V Dixell Temp Controller and Temp Probe,0
120v drain heater,0
120V Dual Blower,0
120v Solenoid Valve,0
120v universal controller,0
12248 Mars Run capacitor 45 MFD 440/370 VAC,0
125V Power Cord,0
127 pound mo99 refrigerant added.,0
12A-1560 Tstat switch,0
12G wire,0
12v hybrid contactor relay,0
14251 cap.,0
15 amp gfci outlet,0
15 amp SC fuses part# SC-15,0
15 uf run cap,0
15-traulsen 342-603222-05 gaskets,0
15411 Jard 115 volt 9w fan motor,0
1550rpm unit bearing motor x2,0
1560 thermostat,0
15amp 120volt 3 wire plug,0
15amp fuse,0
15amp Fuses ALTFU-34772,0
15mfd run cap,0
16 watt Fan Motor,0
16×24×2 filter,0
163s drier,0
16g wire,0
16W 220V Fan motor,0
16watt 115v CW ball bearing motor part# S8 928,0
18/8 thermostat wire,0
1845-20 Paragon Defrost Timer,0
189//213 mfd start cap,0
19166 relay,0
1ars 20211 drier,0
1ars 61447 contactor,0
2' 3/4 copper,0
2” 3/4” coupling,0
2” coupler spacer,0
20 amp fuses part#CCMR 20A,0
208 240 v coil contactor,0
208 3 pole contactor,0
208 3pole contact,0
208-220v solenoid magnet,0
208-230 condenser fan motor,0
208v coil contactor,0
208v compressor,0
208v condensate pan,0
208v motor,0
20AMP FUSE,0
20AMP Fuse FPK-R-20A,0
20amp GFCI 792UK0,0
20x2 filters,0
20x2 MERV13 Fikters,0
20x2 MERV8 filters,0
22’lift low profile condensate pump,0
220V 12ft Drain Heater,0
220V 16W Condenser fan motor,0
220V 30A Contactor,0
220V 40A Contactor,0
220V Dixell Digital Temp Controller,0
230V 1/15Hp Fan Motor,0
230V 1075rpm 2.8v motors.,0
230V 2pole contactor,0
230V 404a compressor,0
230V condensate pan supco,0
230V dixall control,0
230V Drain heater,0
230V Mars fan motor,0
230volt Contactor 61757,0
24” faucet connector,0
240 to 12 transformer,0
240v dixall,0
240V Drain Heater,0
24v coil 2 pole contactor,0
24v SPST switching relay,0
25 uf run cap,0
25×20×2 filters,0
250v 2amp fuse,0
27-031 gaskets,0
270-324mf 330v start capacitor,0
277 true gaskets,0
2amp glass fuse,0
2hp motor,0
3 pole 240v 30 amp contactor,0
3 poles 230V 40A contactor,0
3” paint brush,0
3/16 Tube Extension-Service port,0
3/16” Tube Extension,0
3/4 220V fan motor,0
3/4 coopre pipe,0
3/4 copper coupler,0
3/4 copper pipe fittings,0
3/4 coupling,0
3/4 gas hose kit,0
3/4 Hp 115V LT Compressor,0
3/4 hp compressor is,0
3/4 inch PVC,0
3/4 male copper adapters,0
3/4 nipple,0
3/4 pvc 90's,0
3/4 pvc couplings,0
3/4 pvc fitting,0
3/4 pvc pipe,0
3/4 T,0
3/4 T pvc,0
"3/4"" 1/2"" redusers",0
"3/4"" ball valve",0
"3/4"" copper pipe",0
